"put the case",11
"round the room",11
"said in a",11
"said the sergeant",11
"she had been",11
"she looked at",11
"than i had",11
"that i might",11
"that we were",11
"the bottom of",11
"the case that",11
"the old gentleman",11
"there was an",11
"to do with",11
"to her and",11
"to see you",11
"to tell you",11
"to think of",11
"up and down",11
"up to the",11
"what he had",11
"when we were",11
"which i was",11
"while i was",11
"with the greatest",11
"you and me",11
"you are not",11
"against the wall",10
"am glad to",10
"am going to",10
"and had a",10
"and had been",10
"and i got",10
"and i should",10
"and sat down",10
"and that it",10
"and we all",10
"and we went",10
"and went out",10
"and when he",10
"as i looked",10
"as if the",10
"at me as",10
"at one another",10
"began to think",10
"by and by",10
"by the fire",10
"could have been",10
"do you mean",10
"do you want",10
"down on the",10
"end of the",10
"felt as if",10
"for me and",10
"for the first",10
"gave me a",10
"had not been",10
"he was so",10
"him out of",10
"his face and",10
"his hand and",10
"i could do",10
"i felt as",10
"i got up",10
"i had thought",10
"i saw her",10
"i should not",10
"i thanked him",10
"i was very",10
"if she had",10
"in my own",10
"in the dark",10
"in the old",10
"into the house",10
"it appeared to",10
"it out of",10
"it was in",10
"it was very",10
"look at the",10
"me as a",10
"me on the",10
"me that the",10
"me to the",10
"mr wopsles greataunt",10
"my dear boy",10
"my dear handel",10
"my sister was",10
"occurred to me",10
"of his head",10
"of the old",10
"of the table",10
"on the wall",10
"said mr wopsle",10
"sat down to",10
"seemed to me",10
"so far as",10
"state of mind",10
"that he should",10
"that i am",10
"that i did",10
"that miss havisham",10
"the high street",10
"the old man",10
"to me for",10
"went on with",10
"when i came",10
"when she was",10
"where i had",10
"which he had",10
"you dont know",10
"a few minutes",9
"after i had",9
"again and again",9
"all the time",9
"and i knew",9
"and i said",9
"and i would",9
"and saw that",9
"and that she",9
"and took a",9
"and was a",9
"and went on",9
"as it were",9
"at the back",9
"be able to",9
"between me and",9
"bread and butter",9
"but for the",9
"down the river",9
"early in the",9
"for i was",9
"for some time",9
"got into the",9
"had never been",9
"had told me",9
"hand upon my",9
"he could not",9
"he had come",9
"he had not",9
"he would be",9
"him to be",9
"his eyes on",9
"his hands in",9
"i found myself",9
"i had come",9
"i have got",9
"i know it",9
"i made the",9
"i sat down",9
"i wish you",9
"if i was",9
"if they had",9
"if you can",9
"if you have",9
"if you please",9
"in a corner",9
"in his own",9
"in it and",9
"in the first",9
"it might be",9
"it on the",9
"it up and",9
"it was that",9
"it will be",9
"looked at her",9
"man who was",9
"me and the",9
"me and then",9
"me for a",9
"more than that",9
"of his hand",9
"of the fire",9
"on it and",9
"on my shoulder",9
"on the ground",9
"one of them",9
"one of those",9
"out of a",9
"out of this",9
"put it to",9
"round and round",9
"said he i",9
"shaking his head",9
"side of his",9
"stood looking at",9
"that he is",9
"that he might",9
"that i took",9
"that it would",9
"that mr jaggers",9
"the air of",9
"the appearance of",9
"the cause of",9
"the gate and",9
"the state of",9
"the strange man",9
"the subject of",9
"they were all",9
"this is a",9
"thought of the",9
"to come to",9
"to it and",9
"to make a",9
"to say that",9
"told me that",9
"up at the",9
"was a little",9
"was not to",9
"was such a",9
"were going to",9
"what have i",9
"which she had",9
"who had been",9
"with his hands",9
"a good deal",8
"a match for",8
"a matter of",8
"after a little",8
"all this time",8
"an hour or",8
"and i know",8
"and miss havisham",8
"and put it",8
"and put them",8
"and then the",8
"and there were",8
"and told me",8
"and where the",8
"and would have",8
"and yet i",8
"and you are",8
"as far as",8
"at last i",8
"at once and",8
"at the bottom",8
"at the end",8
"back to the",8
"been able to",8
"both of us",8
"but i could",8
"but i knew",8
"but that i",8
"by this time",8
"could not be",8
"could not help",8
"cried my sister",8
"do you think",8
"dont want to",8
"dont you know",8
"even if i",8
"every one of",8
"for a few",8
"for a long",8
"had been the",8
"had begun to",8
"have been the",8
"have i done",8
"havisham and estella",8
"he could have",8
"he did not",8
"he had made",8
"he looked at",8
"her love her",8
"her that i",8
"him if he",8
"him with the",8
"his eyes and",8
"i am to",8
"i am very",8
"i doubt if",8
"i had heard",8
"i have heard",8
"i knew it",8
"i know that",8
"i made a",8
"i saw a",8
"i shall be",8
"i think he",8
"i told you",8
"i was at",8
"if we had",8
"in a moment",8
"in a most",8
"in all the",8
"in her hand",8
"in his hand",8
"in spite of",8
"in the afternoon",8
"in the light",8
"in the midst",8
"in which i",8
"it is a",8
"it it was",8
"it must be",8
"it when i",8
"look at him",8
"looked as if",8
"may have been",8
"me and he",8
"me by the",8
"me in a",8
"me it was",8
"more and more",8
"mr pip i",8
"much as i",8
"no more of",8
"no more than",8
"of all the",8
"of him and",8
"of it was",8
"of me and",8
"of miss havisham",8
"of miss havishams",8
"of the case",8
"of the day",8
"of the forge",8
"of the little",8
"of the night",8
"of the river",8
"of the way",8
"of what i",8
"on account of",8
"on the floor",8
"on the other",8
"on the subject",8
"one of these",8
"said mrs pocket",8
"should like to",8
"should not have",8
"soon as i",8
"tell you what",8
"that had been",8
"that it is",8
"that she would",8
"the door to",8
"the honor of",8
"the leg of",8
"the man who",8
"the wind and",8
"there was nothing",8
"there was the",8
"there were no",8
"this is the",8
"this was a",8
"thought i would",8
